Real Madrid vs. Barcelona, Madrid, Santiago Bernabéu Stadium, 20/08/2023, 18:00
Liverpool vs. Manchester United, Liverpool, Anfield, 21/08/2023, 19:30
AC Milan vs. Inter Milan, Milan, San Siro, 22/08/2023, 20:15
Arsenal vs. Chelsea, London, Emirates Stadium, 23/08/2023, 21:00
Bayern Munich vs. Borussia Dortmund, Munich, Allianz Arena, 24/08/2023, 22:00
Barcelona vs. Paris Saint-Germain, Barcelona, Camp Nou, 25/08/2023, 17:45
Manchester City vs. Tottenham Hotspur, Manchester, Etihad Stadium, 26/08/2023, 16:30
Juventus vs. Napoli, Turin, Allianz Stadium, 27/08/2023, 19:20
Borussia Dortmund vs. Real Madrid, Dortmund, Signal Iduna Park, 28/08/2023, 18:10
Liverpool vs. Chelsea, Liverpool, Anfield, 29/08/2023, 20:40
Paris Saint-Germain vs. Bayern Munich, Paris, Parc des Princes, 30/08/2023, 22:30
Barcelona vs. Manchester City, Barcelona, Camp Nou, 31/08/2023, 19:15
Manchester United vs. Arsenal, Manchester, Old Trafford, 01/09/2023, 18:30
AC Milan vs. Juventus, Milan, San Siro, 02/09/2023, 17:20
Tottenham Hotspur vs. Inter Milan, London, Tottenham Hotspur Stadium, 03/09/2023, 20:10
Real Madrid vs. Napoli, Madrid, Santiago Bernabéu Stadium, 04/09/2023, 19:00
Chelsea vs. Borussia Dortmund, London, Stamford Bridge, 05/09/2023, 18:45
Bayern Munich vs. Manchester United, Munich, Allianz Arena, 06/09/2023, 21:00
Barcelona vs. Liverpool, Barcelona, Camp Nou, 07/09/2023, 18:30
Paris Saint-Germain vs. Manchester City, Paris, Parc des Princes, 08/09/2023, 19:15
Arsenal vs. Juventus, London, Emirates Stadium, 09/09/2023, 20:00
Manchester United vs. Real Madrid, Manchester, Old Trafford, 10/09/2023, 18:45
Tottenham Hotspur vs. AC Milan, London, Tottenham Hotspur Stadium, 11/09/2023, 20:30
Inter Milan vs. Chelsea, Milan, San Siro, 12/09/2023, 19:30
Napoli vs. Borussia Dortmund, Naples, Stadio Diego Armando Maradona, 13/09/2023, 20:15
Liverpool vs. Paris Saint-Germain, Liverpool, Anfield, 14/09/2023, 19:00
